density	noise_sigma	noise_seed	method	scenario_count	observation_count	observation_multiplier	floor_fraction	mean_clip_fraction	max_clip_fraction	turning_rmse	turning_mae	turning_max_abs_error	turning_rmse_j1	turning_rmse_j2	turning_rmse_j3	turning_rmse_j4	predictive_rmse	fit_rmse	normalized_fit_rmse	weighted_loss	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	requested_budget	solve_seconds	iterations	ensemble_size	esmda_maxiters	adam_time_limit_seconds	adam_best_loss	adam_final_loss	adam_best_iter	adam_final_raw_grad_norm	adam_loss_tail_relspan	adam_grad_tail_relspan	turning_interval_width_mean	turning_interval_width_max	turning_interval_coverage
dense	0.2	1	map_lbfgs	12	3456	12	0.15	0.04369212963	0.06597222222	0.2405488866	0.1814460218	0.7748912615	0.2166439874	0.1979965572	0.1222535216	0.3610704776	0.05514918954	0.1578301653	2.562657521	11348.14505	0.05764296242	0.06596878985	0.05200447031	300	300.723	114	0	0	NaN	11366.42395	11366.42395	114	NaN	8.581021774e-07	NaN	NaN	NaN	NaN
dense	0.2	2	esmda	12	3456	12	0.15	0.0474537037	0.09375	0.2651762312	0.2083818465	0.7885287021	0.3412934459	0.2693919202	0.2383869565	0.1881280696	0.05728812825	0.1606753303	2.51637742	10941.96439	0.069129186	0.07209487402	0.06722474475	1152	145.6807134	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.358779721	0.7548836538	0.5
dense	0.2	2	map_lbfgs	12	3456	12	0.15	0.0474537037	0.09375	0.1708820371	0.1343938432	0.4752841442	0.1749113334	0.2004522657	0.1230002564	0.1757797883	0.05400283894	0.1592128576	2.497543649	10778.78755	0.05657221682	0.06702187049	0.04918051557	300	301.2880001	126	0	0	NaN	10798.21551	10798.21551	126	NaN	4.874284525e-05	NaN	NaN	NaN	NaN
dense	0.2	3	esmda	12	3456	12	0.15	0.046875	0.07638888889	0.2385227696	0.1830712327	0.8161792307	0.2958308725	0.2579753743	0.1703553875	0.2109129904	0.06760255963	0.162435271	2.389118746	9863.231123	0.07101291042	0.08411613085	0.06167644199	1152	153.630411	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.4297135368	0.7600966951	0.703125
dense	0.2	3	map_lbfgs	12	3456	12	0.15	0.046875	0.07638888889	0.2226020423	0.1624505974	0.7118489275	0.2228156784	0.323767708	0.1272153614	0.1659836544	0.06153158032	0.1601837627	2.383737123	9818.846218	0.06418645428	0.07699945268	0.05489886009	300	302.7839999	124	0	0	NaN	9828.98931	9828.98931	124	NaN	6.251842161e-05	NaN	NaN	NaN	NaN
dense	0.4	1	esmda	12	3456	12	0.15	0.216724537	0.2361111111	0.2631621804	0.2130149304	0.6835620747	0.276444072	0.3040759193	0.1889793682	0.2691108348	0.06180646229	0.2592221644	2.867084798	14204.46282	0.06281503751	0.07619737833	0.05316233743	1152	152.6951628	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.3303775944	0.7656869657	0.5
dense	0.4	1	map_lbfgs	12	3456	12	0.15	0.216724537	0.2361111111	0.2248765262	0.1735456117	0.7966681396	0.2347059307	0.1949107348	0.1370811882	0.3006817046	0.04096480233	0.2550240248	2.867191652	14205.52161	0.04769100665	0.04980018988	0.04630176087	300	300.648	111	0	0	NaN	14226.25231	14226.25231	111	NaN	0.0001613740444	NaN	NaN	NaN	NaN
dense	0.4	2	esmda	12	3456	12	0.15	0.2251157407	0.2708333333	0.2511613153	0.1971653947	0.6672231829	0.2748159552	0.2560815267	0.2536801061	0.2165014354	0.04064157452	0.2588293999	2.944517931	14982.08115	0.0552612405	0.05325085409	0.05633480705	1152	145.9222594	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.3742158573	0.7943636007	0.578125
dense	0.4	2	map_lbfgs	12	3456	12	0.15	0.2251157407	0.2708333333	0.180889344	0.1492318644	0.4498900553	0.2409009003	0.1628087984	0.1292908061	0.1721271564	0.03203234054	0.2572744071	2.945489797	14991.97273	0.04478608554	0.03900071267	0.04783667954	300	300.7649999	152	0	0	NaN	15005.89265	15005.89265	152	NaN	1.752570516e-06	NaN	NaN	NaN	NaN
dense	0.4	3	esmda	12	3456	12	0.15	0.2097800926	0.25	0.2506386293	0.1849099969	0.7617654228	0.2472931554	0.2751527453	0.1888907187	0.2805998011	0.05541553184	0.2598941885	2.869664516	14230.03582	0.0753423326	0.07183149479	0.07719657279	1152	153.1413568	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.4014574861	0.7754380554	0.625
