object_key,road_id,veglenkesekvensid,veglenkenummer,segmentnummer,startnode,sluttnode,typeVeg,street_name,kortform,lenkeretning,length_m,feltoversikt,lane_mode,source_files
446458-2-11:457622>2814043,r216,446458,2,11,457622,2814043,Kanalisert veg,Snarøyveien,FV166 S1D1 m44-154,MED,112.429,2#4#6#8,against_link,E18_2.json
405247-6-4:3831712>3822499,r219,405247,6,4,3831712,3822499,Enkel bilveg,Kilenveien,KV1155 S1D1 m58-84,MED,25.807,1#2,bidirectional,E18_2.json E18_3.json
444870-3-11:2814048>2814049,r217,444870,3,11,2814048,2814049,Kanalisert veg,Snarøyveien,FV166 S1D1 m44-151,MED,107.944,1#3#5,with_link,E18_2.json
3921021-8-1:3920980>3920984,r213,3921021,8,1,3920980,CN134,Enkel bilveg,,EA18 S153D1 m3583-3682,MED,99.897,1,with_link,E18_2.json E18_3.json
442460-2-4:457632>1424810,r226,442460,2,4,457632,1424810,Enkel bilveg,Magnus Poulssons vei,PV2371 S2D1 m188-229,MED,40.106,1#2,bidirectional,E18_2.json
2647312-1-4:2647261>2647262,r229,2647312,1,4,2647261,2647262,Enkel bilveg,Lilløyveien,PV1182 S1D1 m0-40,MED,39.659,1#2,bidirectional,E18_2.json
405346-4-3:2735692>2735693,r230,405346,4,3,2735692,2735693,Enkel bilveg,Riiser-Larsens vei,KV1237 S1D1 m298-360,MED,61.523,1#2,bidirectional,E18_2.json E18_3.json
405346-6-3:3580671>2735692,r230,405346,6,3,3580671,2735692,Enkel bilveg,Riiser-Larsens vei,KV1237 S1D1 m195-298,MED,103.282,1#2,bidirectional,E18_2.json E18_3.json
2735733-1-3:2735692>2735693,r231,2735733,1,3,2735692,2735693,Enkel bilveg,Riiser-Larsens vei,PV1237 S1D1 m0-89,MED,89.482,1#2,bidirectional,E18_2.json E18_3.json
405247-1-4:457302>3831712,r219,405247,1,4,457302,3831712,Enkel bilveg,Kilenveien,KV1155 S1D1 m0-58,MED,58.464,1#2,bidirectional,E18_2.json E18_3.json
