object_key,road_id,veglenkesekvensid,veglenkenummer,segmentnummer,startnode,sluttnode,typeVeg,street_name,kortform,lenkeretning,length_m,feltoversikt,lane_mode,source_files
2052506-1-4:2052694>2672634,r001,2052506,1,4,2052694,2672634,Enkel bilveg,Drammensveien,PV11290 S89D1 m51-122,MOT,71.374,1#2,bidirectional,E18_1.json
2672720-1-2:2672634>2672664,r002,2672720,1,2,2672634,2672664,Enkel bilveg,,PV76119 S1D1 m0-19,MED,18.613,1#2,bidirectional,E18_1.json
2052506-2-4:2672634>3287868,r001,2052506,2,4,2672634,CN20,Enkel bilveg,Drammensveien,PV11290 S89D1 m17-51,MOT,34.157,1#2,bidirectional,E18_1.json
2052507-1-4:2052696>2672625,r003,2052507,1,4,CN21,2672625,Enkel bilveg,Drammensveien,PV11290 S90D1 m0-119,MED,118.864,1#2,bidirectional,E18_1.json
3287886-1-2:3287868>3748884,r004,3287886,1,2,CN20,3748884,Enkel bilveg,Drammensveien,PV11290 S91D1 m0-19,MED,19.249,1#2,bidirectional,E18_1.json
615334-2-4:2052695>2052696,r005,615334,2,4,CN20,CN21,Enkel bilveg,Drammensveien,PV11290 S86D1 m137-170,MED,33.492,1#2,bidirectional,E18_1.json
3029197-2-2:3848761>3029209,r006,3029197,2,2,3848761,CN21,Enkel bilveg,Drammensveien,PV11290 S90D1 m213-235,MED,22.015,1#2,bidirectional,E18_1.json
3287886-2-2:3748884>3287849,r004,3287886,2,2,3748884,3287849,Enkel bilveg,Drammensveien,PV11290 S91D1 m19-33,MED,13.947,1#2,bidirectional,E18_1.json
615334-4-4:2672626>2672627,r005,615334,4,4,CN90,CN20,Enkel bilveg,Drammensveien,PV11290 S86D1 m37-107,MED,70.38,1#2,bidirectional,E18_1.json
2672729-1-3:2672627>2672672,r007,2672729,1,3,CN20,2672672,Enkel bilveg,Drammensveien,PV11290 S88D1 m0-63,MED,63.293,1#2,bidirectional,E18_1.json
2672696-2-3:3748867>2672626,r008,2672696,2,3,3748867,CN90,Enkel bilveg,Drammensveien,PV11290 S87D1 m0-5,MOT,4.717,1#2,bidirectional,E18_1.json
2672696-1-3:2672646>3748867,r008,2672696,1,3,2672646,3748867,Enkel bilveg,Drammensveien,PV11290 S87D1 m5-49,MOT,43.795,1#2,bidirectional,E18_1.json
607183-2-4:3748883>628052,r009,607183,2,4,3748883,CN90,Enkel bilveg,Drammensveien,PV11290 S86D1 m8-17,MED,8.504,1#2,bidirectional,E18_1.json
604008-10-5:2823766>1425306,r010,604008,10,5,2823766,1425306,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m0-16,MOT,15.808,1#2,bidirectional,E18_1.json
604008-9-5:628036>2823766,r010,604008,9,5,628036,2823766,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m16-21,MOT,5.452,1#2,bidirectional,E18_1.json
607183-1-4:628048>3748883,r009,607183,1,4,628048,3748883,Enkel bilveg,Drammensveien,PV11290 S86D1 m0-8,MED,8.247,1#2,bidirectional,E18_1.json
604008-8-5:628048>628036,r010,604008,8,5,628048,628036,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m21-35,MOT,14.152,1#2,bidirectional,E18_1.json
2672719-1-3:2672646>3748881,r011,2672719,1,3,2672646,3748881,Enkel bilveg,Drammensveien,PV11290 S87D1 m49-54,MED,5.469,1#2,bidirectional,E18_1.json
2672719-2-3:3748881>2672663,r011,2672719,2,3,3748881,2672663,Enkel bilveg,Drammensveien,PV11290 S87D1 m54-73,MED,18.826,1#2,bidirectional,E18_1.json
604008-7-5:628058>628048,r010,604008,7,5,628058,628048,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m35-55,MOT,19.114,1#2,bidirectional,E18_1.json
604008-6-5:3061490>628058,r010,604008,6,5,3061490,628058,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m55-76,MOT,21.295,1#2,bidirectional,E18_1.json
626896-54-11:3065462>1425951,r012,626896,54,11,3065462,1425951,Kanalisert veg,Drammensveien,EV18 S55D1 m0-22,MOT,22.864,2#4#6,against_link,E18_1.json
604008-5-5:628110>3061490,r010,604008,5,5,CN185,3061490,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m76-123,MOT,46.743,1#2,bidirectional,E18_1.json
626896-53-11:628053>3065462,r012,626896,53,11,CN183,3065462,Kanalisert veg,Drammensveien,EV18 S55D1 m22-50,MOT,27.648,2#4#6,against_link,E18_1.json
615309-1-4:628129>3748853,r014,615309,1,4,CN185,3748853,Enkel bilveg,Drammensveien,PV11290 S103D1 m25-125,MED,99.165,2,against_link,E18_1.json
625751-46-11:3064706>1424554,r015,625751,46,11,3064706,1424554,Kanalisert veg,Drammensveien,EV18 S55D1 m0-22,MOT,21.251,1#3#5#7,with_link,E18_1.json
625349-3-11:628064>628188,r016,625349,3,11,CN183,628188,Rampe,Drammensveien,EV18 S55D1 m619 KD1 m11-165,MOT,154.0,1,with_link,E18_1.json
626896-52-11:3065454>628053,r012,626896,52,11,3065454,CN183,Kanalisert veg,Drammensveien,EV18 S55D1 m50-131,MOT,80.189,2#4#6,against_link,E18_1.json
625751-45-11:3064701>3064706,r015,625751,45,11,3064701,3064706,Kanalisert veg,Drammensveien,EV18 S55D1 m22-50,MOT,28.504,1#3#5#7,with_link,E18_1.json
604008-4-5:628194>628110,r010,604008,4,5,628194,CN185,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m123-227,MOT,104.851,2,against_link,E18_1.json
625751-44-11:628121>3064701,r015,625751,44,11,CN184,3064701,Kanalisert veg,Drammensveien,EV18 S55D1 m50-131,MOT,79.602,1#3#5#7,with_link,E18_1.json
625353-2-8:628099>1246082,r019,625353,2,8,CN184,1246082,Rampe,Drammensveien,EV18 S55D1 m101 KD3 m23-103,MOT,80.444,1,with_link,E18_1.json
604667-1-3:1246082>3061674,r020,604667,1,3,1246082,3061674,Enkel bilveg,Lilleakerveien,KV14290 S1D1 m0-24,MED,23.935,1,with_link,E18_1.json
626896-69-11:4087854>3065454,r012,626896,69,11,4087854,3065454,Kanalisert veg,Drammensveien,EV18 S55D1 m131-260,MOT,129.454,2#4#6,against_link,E18_1.json
625751-56-11:4087858>628121,r015,625751,56,11,4087858,CN184,Kanalisert veg,Drammensveien,EV18 S55D1 m131-215,MOT,85.005,1#3#5#7,with_link,E18_1.json
604667-2-3:3061674>3247339,r020,604667,2,3,3061674,RB33,Enkel bilveg,Lilleakerveien,KV14290 S1D1 m24-50,MED,25.658,1,with_link,E18_1.json
605395-1-3:3247338>3538961,r025,605395,1,3,RB33,3538961,Enkel bilveg,Sollerudveien,KV16815 S1D1 m0-9,MED,9.202,1#2,bidirectional,E18_1.json
605395-42-3:3538961>3748340,r025,605395,42,3,3538961,3748340,Enkel bilveg,Sollerudveien,KV16815 S1D1 m9-50,MED,40.862,1#2,bidirectional,E18_1.json
626376-1-3:628009>2745080,r026,626376,1,3,RB33,2745080,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m0-7,MED,12.046,1,with_link,E18_1.json
627172-1-3:627995>2745082,r027,627172,1,3,RB33,2745082,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m0-7,MED,5.863,2,against_link,E18_1.json
627172-2-3:2745082>627991,r027,627172,2,3,2745082,627991,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m7-23,MED,16.072,2#4S,against_link_special,E18_1.json
626376-2-3:2745080>627991,r026,626376,2,3,2745080,627991,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m7-23,MED,16.944,1#3S,with_link_special,E18_1.json
2672374-1-3:2672167>2672521,r028,2672374,1,3,CN88,2672521,Enkel bilveg,Sollerudveien,PV16815 S19D1 m0-99,MED,98.868,1#2,bidirectional,E18_1.json
3770707-2-1:3822556>3770688,r029,3770707,2,1,3822556,3770688,Enkel bilveg,Lilleakerveien,PV98905 S1D1 m8-34,MED,25.138,1#2,bidirectional,E18_1.json
605395-46-3:3748340>2672167,r025,605395,46,3,3748340,CN88,Enkel bilveg,Sollerudveien,KV16815 S1D1 m50-59,MED,9.311,1#2,bidirectional,E18_1.json
604669-6-3:627991>627988,r030,604669,6,3,627991,627988,Enkel bilveg,Lilleakerveien,KV14290 S2D1 m23-32,MED,9.286,1#2#3S#4S,bidirectional_special,E18_1.json
2672331-1-3:2672168>2672480,r031,2672331,1,3,CN88,2672480,Enkel bilveg,Sollerudveien,PV16815 S38D1 m0-23,MED,23.073,1#2,bidirectional,E18_1.json
604669-7-3:627988>2672604,r030,604669,7,3,627988,CN89,Enkel bilveg,Lilleakerveien,KV14290 S2D1 m32-187,MED,154.443,1#2#3S#4S,bidirectional_special,E18_1.json
2672332-1-3:2672169>2672481,r032,2672332,1,3,CN88,2672481,Enkel bilveg,Sollerudveien,PV16815 S39D1 m0-29,MED,29.266,1#2,bidirectional,E18_1.json
3770707-1-1:3748353>3822556,r029,3770707,1,1,3748353,3822556,Enkel bilveg,Lilleakerveien,PV98905 S1D1 m0-8,MED,8.372,1#2,bidirectional,E18_1.json
615323-6-4:3748353>3034363,r033,615323,6,4,3748353,3034363,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m162-191,MOT,29.672,1#2,bidirectional,E18_1.json
2672710-2-3:3748456>2672656,r034,2672710,2,3,3748456,CN92,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m56-123,MED,67.652,1#2,bidirectional,E18_1.json
2672373-1-3:2672170>2672520,r035,2672373,1,3,CN88,2672520,Enkel bilveg,Sollerudveien,PV16815 S20D1 m0-54,MED,54.225,1#2,bidirectional,E18_1.json
615323-4-4:3034363>3748351,r033,615323,4,4,3034363,3748351,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m125-162,MOT,36.993,1#2,bidirectional,E18_1.json
2672710-1-3:2672655>3748456,r034,2672710,1,3,CN92,3748456,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m21-56,MED,34.338,1#2,bidirectional,E18_1.json
615323-7-4:3748351>3034394,r033,615323,7,4,3748351,3034394,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m59-125,MOT,65.607,1#2,bidirectional,E18_1.json
2745383-1-3:2745076>2745265,r036,2745383,1,3,CN107,2745265,Enkel bilveg,Kirkehaugsveien,PV13720 S3D1 m0-45,MED,44.854,1#2,bidirectional,E18_1.json
2745384-1-3:2745077>2745266,r037,2745384,1,3,CN88,2745266,Enkel bilveg,Kirkehaugsveien,PV13720 S2D1 m0-31,MED,30.987,1#2,bidirectional,E18_1.json
606330-15-3:3770674>3748336,r038,606330,15,3,CN107,3748336,Enkel bilveg,Kirkehaugsveien,PV13720 S1D1 m67-103,MED,35.5,1#2,bidirectional,E18_1.json
606330-13-3:3748336>3770675,r038,606330,13,3,3748336,3770675,Enkel bilveg,Kirkehaugsveien,PV13720 S1D1 m103-141,MED,37.856,1#2,bidirectional,E18_1.json
606330-11-3:2745077>2745076,r038,606330,11,3,CN88,CN107,Enkel bilveg,Kirkehaugsveien,PV13720 S1D1 m8-42,MED,33.722,1#2,bidirectional,E18_1.json
2672333-1-3:2672171>2672482,r039,2672333,1,3,CN88,2672482,Enkel bilveg,Sollerudveien,PV16815 S40D1 m0-50,MED,50.204,1#2,bidirectional,E18_1.json
2672716-1-3:2672660>3748441,r040,2672716,1,3,2672660,3748441,Enkel bilveg,Lilleakerveien,PV14290 S46D1 m0-32,MED,32.299,1#2,bidirectional,E18_1.json
2672734-1-3:2672656>2672675,r042,2672734,1,3,CN92,2672675,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m123-139,MED,15.529,1#2,bidirectional,E18_1.json
3770711-1-1:3770674>3770690,r043,3770711,1,1,CN107,3770690,Enkel bilveg,Kirkehaugsveien,PV98341 S1D1 m0-19,MED,19.422,1#2,bidirectional,E18_1.json
2672707-2-3:3748440>2672655,r044,2672707,2,3,3748440,CN92,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m8-21,MED,13.612,1#2,bidirectional,E18_1.json
615323-3-4:3034394>3748296,r033,615323,3,4,3034394,3748296,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m4-59,MOT,55.405,1#2,bidirectional,E18_1.json
2672707-1-3:2672654>3748440,r044,2672707,1,3,CN91,3748440,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m0-8,MED,7.822,1#2,bidirectional,E18_1.json
2672337-1-3:2672172>2672486,r045,2672337,1,3,CN88,2672486,Enkel bilveg,Sollerudveien,PV16815 S41D1 m0-29,MED,28.522,1#2,bidirectional,E18_1.json
3770708-1-1:3770675>3770689,r046,3770708,1,1,3770675,3770689,Enkel bilveg,Kirkehaugsveien,PV98902 S1D1 m0-15,MED,14.565,1#2,bidirectional,E18_1.json
2672741-1-3:2672654>2672681,r047,2672741,1,3,CN91,2672681,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m295-302,MED,6.588,1#2,bidirectional,E18_1.json
606330-14-3:3770675>3034364,r038,606330,14,3,3770675,3034364,Enkel bilveg,Kirkehaugsveien,PV13720 S1D1 m141-187,MED,46.29,1#2,bidirectional,E18_1.json
2672716-2-3:3748441>2672658,r040,2672716,2,3,3748441,CN91,Enkel bilveg,Lilleakerveien,PV14290 S46D1 m32-39,MED,7.106,1#2,bidirectional,E18_1.json
2672743-4-3:3748469>2672658,r049,2672743,4,3,3748469,CN91,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m278-281,MED,2.573,1#2,bidirectional,E18_1.json
2672743-3-3:3748467>3748469,r049,2672743,3,3,3748467,3748469,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m219-278,MED,59.218,1#2,bidirectional,E18_1.json
615323-8-4:3748296>1471821,r033,615323,8,4,3748296,1471821,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m0-4,MOT,3.684,1#2,bidirectional,E18_1.json
2672334-1-3:2672173>2672483,r050,2672334,1,3,CN88,2672483,Enkel bilveg,Sollerudveien,PV16815 S42D1 m0-27,MED,27.429,1#2,bidirectional,E18_1.json
615308-5-4:1471821>3748281,r051,615308,5,4,1471821,3748281,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m156-160,MED,4.65,1#2,bidirectional,E18_1.json
615308-8-4:3748281>2672631,r051,615308,8,4,3748281,2672631,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m160-166,MED,6.256,1#2,bidirectional,E18_1.json
2672743-1-3:2672631>3748278,r049,2672743,1,3,2672631,3748278,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m166-169,MED,3.061,1#2,bidirectional,E18_1.json
2672743-2-3:3748278>3748467,r049,2672743,2,3,3748278,3748467,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m169-219,MED,49.585,1#2,bidirectional,E18_1.json
615308-7-4:3748297>1471821,r051,615308,7,4,3748297,1471821,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m124-156,MED,31.168,1#2,bidirectional,E18_1.json
606145-1-3:628114>628158,r052,606145,1,3,CN88,628158,Enkel bilveg,Doktor Rustads vei,PV11267 S1D1 m0-53,MED,53.094,1#2,bidirectional,E18_1.json
2672721-2-4:3748354>3770650,r053,2672721,2,4,3748354,3770650,Enkel bilveg,Lilleakerveien,PV14290 S44D1 m21-30,MED,9.003,1#2,bidirectional,E18_1.json
2672731-1-3:2672641>2672673,r054,2672731,1,3,2672641,2672673,Enkel bilveg,Lilleakerveien,PV14290 S60D1 m0-25,MED,24.551,1#2,bidirectional,E18_1.json
2672721-3-4:3748294>3748354,r053,2672721,3,4,3748294,3748354,Enkel bilveg,Lilleakerveien,PV14290 S44D1 m5-21,MED,15.712,1#2,bidirectional,E18_1.json
615308-3-4:2672630>3748297,r051,615308,3,4,2672630,3748297,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m99-124,MED,25.294,1#2,bidirectional,E18_1.json
2672721-1-4:2672630>3748294,r053,2672721,1,4,2672630,3748294,Enkel bilveg,Lilleakerveien,PV14290 S44D1 m0-5,MED,4.802,1#2,bidirectional,E18_1.json
615308-6-4:3748322>2672630,r051,615308,6,4,3748322,2672630,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m45-99,MED,53.596,1#2,bidirectional,E18_1.json
2672370-1-3:2672517>2672176,r055,2672370,1,3,2672517,2672176,Enkel bilveg,Sollerudveien,PV16815 S21D1 m0-56,MOT,55.936,1#2,bidirectional,E18_1.json
605395-4-3:628123>2672176,r025,605395,4,3,CN88,2672176,Enkel bilveg,Sollerudveien,KV16815 S1D1 m215-248,MED,33.928,1#2,bidirectional,E18_1.json
615316-1-4:628123>1935603,r056,615316,1,4,CN88,1935603,Enkel bilveg,Sollerudveien,PV16815 S28D1 m0-35,MED,35.225,1#2,bidirectional,E18_1.json
606330-12-3:3034364>2672180,r038,606330,12,3,3034364,2672180,Enkel bilveg,Kirkehaugsveien,PV13720 S1D1 m187-224,MED,37.237,1#2,bidirectional,E18_1.json
3034353-1-2:3034364>3034413,r057,3034353,1,2,3034364,3034413,Enkel bilveg,Kirkehaugsveien,PV13720 S4D1 m0-25,MED,24.958,1#2,bidirectional,E18_1.json
2672730-1-4:2672604>3748350,r058,2672730,1,4,CN89,3748350,Enkel bilveg,Lilleakerveien,KV14290 S4D1 m0-5,MED,5.168,1#2,bidirectional,E18_1.json
2672730-2-4:3748350>2672641,r058,2672730,2,4,3748350,2672641,Enkel bilveg,Lilleakerveien,KV14290 S4D1 m5-10,MED,5.302,1#2,bidirectional,E18_1.json
2672689-1-3:2672641>2672642,r059,2672689,1,3,2672641,2672642,Enkel bilveg,Lilleakerveien,PV14290 S59D1 m0-26,MED,26.066,1#2,bidirectional,E18_1.json
615308-2-4:2672629>3748322,r051,615308,2,4,2672629,3748322,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m32-45,MED,13.441,1#2,bidirectional,E18_1.json
2745382-3-3:3748423>3748466,r060,2745382,3,3,3748423,3748466,Enkel bilveg,Lilleakerveien,PV14290 S40D1 m10-21,MED,10.871,1#2,bidirectional,E18_1.json
2745382-2-3:3748466>3748395,r060,2745382,2,3,3748466,3748395,Enkel bilveg,Lilleakerveien,PV14290 S40D1 m21-34,MED,13.241,1#2,bidirectional,E18_1.json
2745382-1-3:2745083>3748423,r060,2745382,1,3,2745083,3748423,Enkel bilveg,Lilleakerveien,PV14290 S40D1 m0-10,MED,10.325,1#2,bidirectional,E18_1.json
615316-2-4:1935603>1471815,r056,615316,2,4,1935603,1471815,Enkel bilveg,Sollerudveien,PV16815 S28D1 m35-125,MED,89.673,1#2,bidirectional,E18_1.json
1935559-1-4:1935603>1935604,r061,1935559,1,4,1935603,1935604,Enkel bilveg,Sollerudveien,PV16815 S29D1 m0-28,MED,27.877,1#2,bidirectional,E18_1.json
2672336-1-3:2672180>2672485,r062,2672336,1,3,2672180,2672485,Enkel bilveg,Kirkehaugsveien,PV13720 S5D1 m0-39,MED,38.808,1#2,bidirectional,E18_1.json
2745381-1-3:2745084>2745263,r063,2745381,1,3,2745084,2745263,Enkel bilveg,Lilleakerveien,PV14290 S39D1 m0-28,MED,27.777,1#2,bidirectional,E18_1.json
604669-8-3:627945>627936,r030,604669,8,3,CN89,627936,Enkel bilveg,Lilleakerveien,KV14290 S2D1 m199-300,MED,100.43,1#2#3S#4S,bidirectional_special,E18_1.json
615308-1-4:627945>4080603,r051,615308,1,4,CN89,4080603,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m0-8,MED,7.727,1#2,bidirectional,E18_1.json
615308-9-4:4080603>2672629,r051,615308,9,4,4080603,2672629,Enkel bilveg,Lilleakerveien,PV14290 S42D1 m8-32,MED,24.283,1#2,bidirectional,E18_1.json
2672717-1-4:2672629>2745085,r064,2672717,1,4,2672629,2745085,Enkel bilveg,Lilleakerveien,PV14290 S43D1 m0-27,MED,26.579,1#2,bidirectional,E18_1.json
2672723-2-3:3152357>2672667,r065,2672723,2,3,3152357,2672667,Enkel bilveg,Lilleakerveien,PV14290 S29D1 m91-119,MED,27.861,1#2,bidirectional,E18_1.json
2745382-5-3:3748395>3748408,r060,2745382,5,3,3748395,3748408,Enkel bilveg,Lilleakerveien,PV14290 S40D1 m34-60,MED,25.759,1#2,bidirectional,E18_1.json
2672711-7-3:3748409>2745083,r066,2672711,7,3,3748409,2745083,Enkel bilveg,Lilleakerveien,PV14290 S35D1 m103-112,MED,9.104,1#2,bidirectional,E18_1.json
2672711-3-3:2745083>3067211,r066,2672711,3,3,2745083,3067211,Enkel bilveg,Lilleakerveien,PV14290 S35D1 m112-121,MED,8.085,1#2,bidirectional,E18_1.json
2672711-5-3:3748282>3748409,r066,2672711,5,3,3748282,3748409,Enkel bilveg,Lilleakerveien,PV14290 S35D1 m53-103,MED,50.202,1#2,bidirectional,E18_1.json
2672711-2-4:3067211>3748422,r066,2672711,2,4,3067211,3748422,Enkel bilveg,Lilleakerveien,PV14290 S37D1 m317-321,MOT,4.752,1#2,bidirectional,E18_1.json
2672723-1-3:1935608>3152357,r065,2672723,1,3,1935608,3152357,Enkel bilveg,Lilleakerveien,PV14290 S29D1 m79-91,MED,12.275,1#2,bidirectional,E18_1.json
3152351-1-2:3152357>3152373,r067,3152351,1,2,3152357,3152373,Enkel bilveg,Lilleakerveien,PV14290 S34D1 m0-22,MED,21.592,1#2,bidirectional,E18_1.json
2672711-6-4:3748422>3748412,r066,2672711,6,4,3748422,3748412,Enkel bilveg,Lilleakerveien,PV14290 S37D1 m303-317,MOT,14.144,1#2,bidirectional,E18_1.json
405112-2-3:458258>458269,r068,405112,2,3,458258,458269,Enkel bilveg,Dicks vei,KV1062 S1D1 m12-360,MED,348.471,1#2,bidirectional,E18_1.json
443315-3-11:457566>457590,r069,443315,3,11,CN09,CN179,Rampe,Drammensveien,EV18 S54D1 m204 KD4 m8-325,MOT,316.782,1,with_link,E18_1.json E18_2.json
443320-6-14:3073798>457090,r070,443320,6,14,3073798,CN140,Rampe,Drammensveien,EV18 S54D1 m204 KD8 m151-444,MOT,293.0,1,with_link,E18_1.json E18_2.json E18_3.json
405788-5-3:2647269>458449,r071,405788,5,3,CN71,458449,Enkel bilveg,Strandveien,KV1991 S1D1 m26-153,MED,126.626,1#2,bidirectional,E18_1.json
405160-1-3:458164>1239592,r072,405160,1,3,458164,1239592,Enkel bilveg,Fjellveien,KV1090 S1D1 m0-229,MED,228.586,1#2,bidirectional,E18_1.json E18_2.json
405162-10-3:2735688>457695,r073,405162,10,3,2735688,457695,Enkel bilveg,Fornebuveien,KV1092 S1D1 m93-262,MED,168.839,1#2,bidirectional,E18_1.json E18_2.json
444259-13-11:3076397>457561,r074,444259,13,11,3076397,457561,Enkel bilveg,Drammensveien,RV150 S3D1 m1231-1312,MED,80.64,1,with_link,E18_1.json E18_2.json
2647299-1-3:2647273>2647278,r075,2647299,1,3,2647273,2647278,Enkel bilveg,Fridtjof Nansens vei,PV92474 S1D1 m0-90,MED,90.063,1#2,bidirectional,E18_1.json E18_2.json
443314-13-13:3073772>457716,r076,443314,13,13,3073772,CN180,Rampe,Drammensveien,EV18 S54D1 m204 KD2 m111-221,MOT,109.237,1,with_link,E18_1.json E18_2.json
417265-1-3:1413542>457670,r077,417265,1,3,1413542,457670,Enkel bilveg,Fornebuveien,PV1092 S1D1 m0-221,MED,220.919,1#2,bidirectional,E18_1.json E18_2.json
405168-2-3:458164>2647275,r078,405168,2,3,458164,CN72,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m132-231,MED,99.204,1#2,bidirectional,E18_1.json E18_2.json
2647298-1-3:2647275>2647277,r079,2647298,1,3,CN72,2647277,Enkel bilveg,Fridtjof Nansens vei,PV92473 S1D1 m0-72,MED,71.834,1#2,bidirectional,E18_1.json E18_2.json
443317-6-12:457653>457965,r080,443317,6,12,457653,457965,Rampe,Drammensveien,EV18 S54D1 m204 KD6 m244-524,MOT,280.0,1,with_link,E18_1.json E18_2.json
444259-16-10:3975026>3076395,r074,444259,16,10,3975026,3076395,Enkel bilveg,Drammensveien,RV150 S3D1 m968-1038,MED,69.402,1#3,with_link,E18_1.json E18_2.json
446147-15-12:3078046>3078047,r081,446147,15,12,3078046,3078047,Kanalisert veg,Drammensveien,EV18 S54D1 m350-456,MOT,105.195,2#4,against_link,E18_1.json E18_2.json
443314-4-14:457791>3073770,r076,443314,4,14,457791,3073770,Rampe,Drammensveien,EV18 S54D1 m204 KD3 m154-384,MOT,230.0,1,with_link,E18_1.json E18_2.json
443319-11-11:3073790>457561,r082,443319,11,11,3073790,457561,Rampe,Drammensveien,EV18 S54D1 m204 KD1 m365-371,MOT,6.0,,unknown,E18_1.json E18_2.json
2647321-1-3:2647269>2647279,r083,2647321,1,3,CN71,2647279,Enkel bilveg,Strandveien,PV92494 S1D1 m0-30,MED,30.038,1#2,bidirectional,E18_1.json
443804-37-15:2670209>3413108,r084,443804,37,15,CN86,3413108,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m819-868,MOT,48.924,1#2#3S#4S,bidirectional_special,E18_1.json E18_2.json
444470-14-12:3077110>457575,r085,444470,14,12,3077110,CN179,Kanalisert veg,Drammensveien,EV18 S54D1 m347-350,MOT,3.015,1#3#5,with_link,E18_1.json E18_2.json
444470-13-12:3077105>3077110,r085,444470,13,12,3077105,3077110,Kanalisert veg,Drammensveien,EV18 S54D1 m350-456,MOT,105.96,1#3#5,with_link,E18_1.json E18_2.json
444259-11-12:457561>2659393,r074,444259,11,12,457561,2659393,Enkel bilveg,Drammensveien,RV150 S3D1 m1312-1447,MED,135.0,1#3,with_link,E18_1.json E18_2.json
445673-2-3:2647270>458427,r087,445673,2,3,2647270,CN71,Kanalisert veg,Strandveien,KV1991 S1D1 m12-19,MED,7.682,1,with_link,E18_1.json
447245-2-3:2647271>458427,r088,447245,2,3,2647271,CN71,Kanalisert veg,Strandveien,KV1991 S1D1 m12-19,MED,8.579,2,against_link,E18_1.json
443320-8-19:0.17833925@443320>3073798,r070,443320,8,19,0.17833925@443320,3073798,Rampe,Drammensveien,EV18 S54D1 m204 KD8 m78-151,MOT,73.406,1,with_link,E18_1.json E18_2.json
445673-3-3:3289392>2647270,r087,445673,3,3,3289392,2647270,Kanalisert veg,Strandveien,KV1991 S1D1 m7-12,MED,5.976,1,with_link,E18_1.json
443804-42-15:3413108>3075009,r084,443804,42,15,3413108,3075009,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m586-819,MOT,233.093,1#2#3S#4S,bidirectional_special,E18_1.json E18_2.json
447245-3-3:3289393>2647271,r088,447245,3,3,3289393,2647271,Kanalisert veg,Strandveien,KV1991 S1D1 m7-12,MED,4.387,2,against_link,E18_1.json
2735762-1-3:2735688>2735722,r089,2735762,1,3,2735688,2735722,Enkel bilveg,Fornebuveien,PV1092 S5D1 m0-28,MED,27.89,1#2,bidirectional,E18_1.json E18_2.json
445673-1-3:458409>3289392,r087,445673,1,3,RB31,3289392,Kanalisert veg,Strandveien,KV1991 S1D1 m0-7,MED,7.853,,unknown,E18_1.json
405162-1-3:1240846>2735688,r073,405162,1,3,1240846,2735688,Enkel bilveg,Fornebuveien,KV1092 S1D1 m0-93,MED,92.668,1#2,bidirectional,E18_1.json E18_2.json
447245-1-3:458421>3289393,r088,447245,1,3,RB31,3289393,Kanalisert veg,Strandveien,KV1991 S1D1 m0-7,MED,7.855,,unknown,E18_1.json
445139-2-12:3289399>458394,r091,445139,2,12,3289399,RB31,Kanalisert veg,Strandveien,FV1633 S1D1 m277-285,MED,8.588,,unknown,E18_1.json
445139-1-12:458366>3289399,r091,445139,1,12,458366,3289399,Kanalisert veg,Strandveien,FV1633 S1D1 m264-277,MED,14.887,1,with_link,E18_1.json
447522-2-3:3289391>458423,r092,447522,2,3,3289391,RB31,Kanalisert veg,Strandveien,PV1991 S3D1 m0-6,MOT,7.221,,unknown,E18_1.json
