parameter_index	parameter_name	z	best_loss	elapsed_seconds	stage
1	z_j54_r1_k1	0	74.16423105	9674.25	objective_eval
2	z_j54_r1_k2	0	74.16423105	9674.25	objective_eval
3	z_j54_r2_k1	0	74.16423105	9674.25	objective_eval
4	z_j54_r2_k2	0	74.16423105	9674.25	objective_eval
5	z_j54_r3_k1	0	74.16423105	9674.25	objective_eval
6	z_j54_r3_k2	0	74.16423105	9674.25	objective_eval
7	z_j196_r1_k1	0.1331566552	74.16423105	9674.25	objective_eval
8	z_j196_r1_k2	0.1331566552	74.16423105	9674.25	objective_eval
9	z_j196_r2_k1	0.4172680252	74.16423105	9674.25	objective_eval
10	z_j196_r2_k2	0.4172680252	74.16423105	9674.25	objective_eval
11	z_j196_r3_k1	0.2682986024	74.16423105	9674.25	objective_eval
12	z_j196_r3_k2	0.2682986024	74.16423105	9674.25	objective_eval
13	z_j219_r1_k1	-0.02149370935	74.16423105	9674.25	objective_eval
14	z_j219_r1_k2	0.01093817794	74.16423105	9674.25	objective_eval
15	z_j219_r2_k1	-0.02136658612	74.16423105	9674.25	objective_eval
16	z_j219_r2_k2	0.01089537557	74.16423105	9674.25	objective_eval
17	z_j219_r3_k1	-0.02321163569	74.16423105	9674.25	objective_eval
18	z_j219_r3_k2	0.01180128905	74.16423105	9674.25	objective_eval
19	z_j258_r1_k1	0	74.16423105	9674.25	objective_eval
20	z_j258_r1_k2	0	74.16423105	9674.25	objective_eval
21	z_j258_r2_k1	0	74.16423105	9674.25	objective_eval
22	z_j258_r2_k2	0	74.16423105	9674.25	objective_eval
23	z_j258_r3_k1	0	74.16423105	9674.25	objective_eval
24	z_j258_r3_k2	0	74.16423105	9674.25	objective_eval
25	z_j261_r1_k1	7.713238369e-22	74.16423105	9674.25	objective_eval
26	z_j261_r1_k2	9.614430429e-11	74.16423105	9674.25	objective_eval
27	z_j261_r2_k1	-3.960384426e-22	74.16423105	9674.25	objective_eval
28	z_j261_r2_k2	1.430715004e-10	74.16423105	9674.25	objective_eval
29	z_j261_r3_k1	-4.003323113e-22	74.16423105	9674.25	objective_eval
