row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_target_cols	rank_within_swap	variant_label	y_true	y_obs	y_post	y_swap	sigma_true	sigma_model	flux_shape_obs	true_standardized_residual	post_standardized_residual	swap_standardized_residual	post_loss_contribution	swap_loss_contribution	contribution_improvement	abs_contribution_improvement	swap_improves_observation	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
J1 row 1	1	1	1	false	0.5552748191	2,3	1	hard_floor_0p03	0.2425337545	0.009939361138	0.06814460595	0.214052829	0.05878756237	0.003148982476	0.03936228095	73.86334954	18.4838262	64.81886433	170.8259156	2100.742587	-1929.916671	1929.916671	false	2225	8	alternating_inlets	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	2	hard_floor_0p03	0.1653560298	0.06124722251	0.08484521151	0.1570504819	0.04416429222	0.01839872008	0.229984001	5.658480961	1.28258862	5.207061087	0.8225167846	13.55674258	-12.7342258	12.7342258	false	2802	10	late_surge_sparse_start	210	17	internal	2	5	0.375	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	3	hard_floor_0p03	0.5047746712	0.4476481602	0.111001079	0.4625381671	0.0799927048	0.07912297116	0.9890371395	0.7219965336	-4.254732555	0.1881881667	9.051374558	0.01770739304	9.033667165	9.033667165	true	501	2	heavy_from_start	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 1	1	1	1	false	0.5552748191	2,3	4	hard_floor_0p03	0.406930258	0.3863084423	0.07300603591	0.3513718942	0.0772281674	0.0758637535	0.9482969188	0.2718269891	-4.129803653	-0.4605169986	8.527639106	0.106037953	8.421601153	8.421601153	true	505	2	heavy_from_start	217	17	internal	1	2	0.125	7	0.02916666667	1.75
J1 row 1	1	1	1	false	0.5552748191	2,3	5	hard_floor_0p03	0.1065176995	0.03424543512	0.09064130976	0.1047753891	0.03045493734	0.01058325929	0.1322907412	6.828923146	5.328781339	6.664294239	14.19795528	22.20640885	-8.008453573	8.008453573	false	778	3	quiet_start_then_build	202	17	internal	2	5	0.375	3	0.0125	0.75
J1 row 1	1	1	1	false	0.5552748191	2,3	6	hard_floor_0p03	0.4383793127	0.4611148024	0.1521061453	0.3965952135	0.07878492509	0.07951614125	0.9939517656	-0.2859229497	-3.886112331	-0.8114024126	7.550934526	0.3291869376	7.221747588	7.221747588	true	1645	6	west_heavy	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 1	1	1	1	false	0.5552748191	2,3	7	hard_floor_0p03	0.2078952746	0.08947067797	0.06580482243	0.1895485901	0.0526959454	0.02606901624	0.325862703	4.542733623	-0.9078154435	3.838960057	0.4120644397	7.36880716	-6.95674272	6.95674272	false	2814	10	late_surge_sparse_start	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 1	1	1	1	false	0.5552748191	2,3	8	hard_floor_0p03	0.357141613	0.374508614	0.08791170479	0.3090642394	0.073469274	0.07496061186	0.9370076482	-0.231681688	-3.823300026	-0.8730501668	7.308811544	0.3811082968	6.927703247	6.927703247	true	209	1	balanced_reference	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	9	hard_floor_0p03	0.3138141451	0.327964302	0.06348217338	0.263106698	0.06890714478	0.07052918996	0.8816148745	-0.2006283765	-3.749966912	-0.9195852669	7.031125919	0.4228185316	6.608307387	6.608307387	true	509	2	heavy_from_start	221	17	internal	1	2	0.125	8	0.03333333333	2
J1 row 1	1	1	1	false	0.5552748191	2,3	10	hard_floor_0p03	0.4149987458	0.5438241517	0.2369649133	0.4112268683	0.07768793177	0.07938542199	0.9923177749	-1.622784168	-3.865435627	-1.670297646	7.470796293	1.394947113	6.07584918	6.07584918	true	1662	6	west_heavy	222	17	internal	2	5	0.375	8	0.03333333333	2
