global_entry	entry_label	junction	junction_label	incoming_row	outgoing_col	source_road	target_road	incoming_road	outgoing_road	source_role	target_role	incoming_role	outgoing_role	source_observed	target_observed	incoming_observed	outgoing_observed	direct_observed_count	direct_observation_class	target_observation_distance	downstream_observation_class	truth	posterior_mean	posterior_median	posterior_q1	posterior_q3	ci05	ci95	ci_width	covered_by_ci90	signed_error	abs_error	normalized_ci_gap	large_error	source_mean_density	source_density_span	source_density_std	target_mean_density	target_density_span	target_density_std	raw_sensitivity	normalized_sensitivity	max_abs_normalized_sensitivity
48	J3 P44	3	J3 (bottom-left)	4	4	24	23	24	23	internal	internal	internal	internal	true	false	true	false	1	source observed	1	observed after 1 turn	0.12	0.246456705	0.2188095443	0.1529095473	0.3152639444	0.07927404887	0.5040328121	0.4247587633	true	0.126456705	0.126456705	0	false	0.3077298362	0.6551844361	0.1425919159	0.3133928702	0.6626627127	0.1463547113	0.02061231642	0.3000327226	6.236884352
49	J4 P11	4	J4 (bottom-right)	1	1	13	15	13	15	incoming	outgoing	incoming	outgoing	false	true	false	true	1	target observed	0	target observed	0.12	0.1577340082	0.127443862	0.07539225816	0.216298452	0.0256938059	0.3795435716	0.3538497657	true	0.03773400819	0.03773400819	0	false	0.295779071	0.7675939755	0.1708025354	0.2959576339	0.7397657678	0.1475956355	0.06073056471	0.9848835239	12.04284647
50	J4 P12	4	J4 (bottom-right)	1	2	13	16	13	16	incoming	outgoing	incoming	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.16	0.4023002641	0.3709392944	0.2253002146	0.5818723306	0.07251316835	0.7721098294	0.6995966611	true	0.2423002641	0.2423002641	0	false	0.295779071	0.7675939755	0.1708025354	0.2901983356	0.7394210307	0.1449634496	0.03947867723	0.5964823714	8.471738129
51	J4 P13	4	J4 (bottom-right)	1	3	13	22	13	22	incoming	internal	incoming	internal	false	false	false	false	0	neither directly observed	1	observed after 1 turn	0.54	0.1919065754	0.1528761512	0.06657073615	0.2747831083	0.0192999217	0.5498973936	0.5305974719	true	-0.3480934246	0.3480934246	0	true	0.295779071	0.7675939755	0.1708025354	0.3266857155	0.6904146233	0.1574009113	0.08844125499	1.341871721	18.57946423
52	J4 P14	4	J4 (bottom-right)	1	4	13	24	13	24	incoming	internal	incoming	internal	false	true	false	true	1	target observed	0	target observed	0.18	0.2480591524	0.2347952907	0.1736396042	0.3230352687	0.08862987424	0.4353331872	0.3467033129	true	0.06805915235	0.06805915235	0	false	0.295779071	0.7675939755	0.1708025354	0.3077298362	0.6551844361	0.1425919159	0.08807566196	1.348352773	22.18775162
53	J4 P21	4	J4 (bottom-right)	2	1	14	15	14	15	incoming	outgoing	incoming	outgoing	true	true	true	true	2	source+target observed	0	target observed	0.16	0.09254159379	0.07046622914	0.03982429533	0.1224397918	0.01137050925	0.2569280708	0.2455575616	true	-0.06745840621	0.06745840621	0	false	0.296113473	0.7645069381	0.170632117	0.2959576339	0.7397657678	0.1475956355	0.06061177952	1.018915958	11.91457405
54	J4 P22	4	J4 (bottom-right)	2	2	14	16	14	16	incoming	outgoing	incoming	outgoing	true	false	true	false	1	source observed	Inf	no downstream observed road	0.1	0.2581830527	0.2244763976	0.1328944487	0.3429984528	0.05593969553	0.5687288351	0.5127891395	true	0.1581830527	0.1581830527	0	false	0.296113473	0.7645069381	0.170632117	0.2901983356	0.7394210307	0.1449634496	0.03135167977	0.5279346281	10.50656718
55	J4 P23	4	J4 (bottom-right)	2	3	14	22	14	22	incoming	internal	incoming	internal	true	false	true	false	1	source observed	1	observed after 1 turn	0.2	0.2983345447	0.2817477632	0.1618067023	0.4104156126	0.03465355278	0.5732079661	0.5385544133	true	0.0983345447	0.0983345447	0	false	0.296113473	0.7645069381	0.170632117	0.3266857155	0.6904146233	0.1574009113	0.1240205228	1.880228469	28.63202726
56	J4 P24	4	J4 (bottom-right)	2	4	14	24	14	24	incoming	internal	incoming	internal	true	true	true	true	2	source+target observed	0	target observed	0.54	0.3509408088	0.360958081	0.2755760038	0.4209290278	0.1652067569	0.4924677304	0.3272609735	false	-0.1890591912	0.1890591912	0.1452427066	false	0.296113473	0.7645069381	0.170632117	0.3077298362	0.6551844361	0.1425919159	0.09346316408	1.441729412	24.56521158
57	J4 P31	4	J4 (bottom-right)	3	1	21	15	21	15	internal	outgoing	internal	outgoing	true	true	true	true	2	source+target observed	0	target observed	0.46	0.2702653356	0.2276576351	0.1245329276	0.3978012149	0.04326604065	0.5818113133	0.5385452726	true	-0.1897346644	0.1897346644	0	false	0.3205235704	0.6944289559	0.1561874264	0.2959576339	0.7397657678	0.1475956355	0.03733503029	0.6336645452	9.066718795
58	J4 P32	4	J4 (bottom-right)	3	2	21	16	21	16	internal	outgoing	internal	outgoing	true	false	true	false	1	source observed	Inf	no downstream observed road	0.24	0.3643715953	0.3316150112	0.1936377327	0.5283504217	0.07447940985	0.736858039	0.6623786292	true	0.1243715953	0.1243715953	0	false	0.3205235704	0.6944289559	0.1561874264	0.2901983356	0.7394210307	0.1449634496	0.01936573536	0.3284565687	5.401558402
59	J4 P33	4	J4 (bottom-right)	3	3	21	22	21	22	internal	internal	internal	internal	true	false	true	false	1	source observed	1	observed after 1 turn	0.1	0.2048397628	0.1773777694	0.07940021996	0.2997403366	0.02928052209	0.4936336251	0.464353103	true	0.1048397628	0.1048397628	0	false	0.3205235704	0.6944289559	0.1561874264	0.3266857155	0.6904146233	0.1574009113	0.07415351989	1.142077112	12.84374204
60	J4 P34	4	J4 (bottom-right)	3	4	21	24	21	24	internal	internal	internal	internal	true	true	true	true	2	source+target observed	0	target observed	0.2	0.1605233063	0.1465730293	0.1067361675	0.2104064668	0.0602531898	0.2859547487	0.2257015589	true	-0.03947669367	0.03947669367	0	false	0.3205235704	0.6944289559	0.1561874264	0.3077298362	0.6551844361	0.1425919159	0.05345518039	0.8750105291	14.71004516
61	J4 P41	4	J4 (bottom-right)	4	1	23	15	23	15	internal	outgoing	internal	outgoing	false	true	false	true	1	target observed	0	target observed	0.2	0.3429521668	0.3470766611	0.2574187953	0.4199224083	0.1487946655	0.539231963	0.3904372975	true	0.1429521668	0.1429521668	0	false	0.3133928702	0.6626627127	0.1463547113	0.2959576339	0.7397657678	0.1475956355	0.04970773198	0.8261406825	11.00062444
62	J4 P42	4	J4 (bottom-right)	4	2	23	16	23	16	internal	outgoing	internal	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.48	0.3042111878	0.3000254094	0.1833316521	0.4139473155	0.07404159589	0.5874462554	0.5134046595	true	-0.1757888122	0.1757888122	0	false	0.3133928702	0.6626627127	0.1463547113	0.2901983356	0.7394210307	0.1449634496	0.02832327976	0.4300689825	6.272871417
63	J4 P43	4	J4 (bottom-right)	4	3	23	22	23	22	internal	internal	internal	internal	false	false	false	false	0	neither directly observed	1	observed after 1 turn	0.22	0.1592501155	0.1289630939	0.07234324683	0.2278944811	0.02212304756	0.4024811303	0.3803580828	true	-0.0607498845	0.0607498845	0	false	0.3133928702	0.6626627127	0.1463547113	0.3266857155	0.6904146233	0.1574009113	0.08807722526	1.338303902	16.94851962
64	J4 P44	4	J4 (bottom-right)	4	4	23	24	23	24	internal	internal	internal	internal	false	true	false	true	1	target observed	0	target observed	0.1	0.1935865299	0.1899234583	0.1494314768	0.2325758356	0.09944010481	0.2926650416	0.1932249368	true	0.09358652992	0.09358652992	0	false	0.3133928702	0.6626627127	0.1463547113	0.3077298362	0.6551844361	0.1425919159	0.07339093283	1.174674543	18.75539182
