row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_road	observed_road_role	observed_road_is_source	observed_road_is_target	post_fit_normalized_rmse	swap_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized
J1 row 1	1	1	1	false	0.5552748191	2	incoming	false	false	1.746413128	1.742697654	0.003715474051	0.003066917112	0.008975594549	-0.005908677437	0.1571249706
J1 row 1	1	1	1	false	0.5552748191	4	outgoing	false	true	1.104954401	1.102121944	0.002832457527	0.004001227309	0.003513022469	0.0004882048396	0.06239928221
J1 row 1	1	1	1	false	0.5552748191	7	outgoing	false	false	1.38924159	1.388501819	0.0007397710393	0.007265733469	0.007285556473	-1.982300367e-05	0.008936462847
J1 row 1	1	1	1	false	0.5552748191	9	incoming	false	false	1.432782793	1.43125791	0.001524883639	0.007858884076	0.007560181053	0.0002987030231	0.02770731515
J1 row 1	1	1	1	false	0.5552748191	14	incoming	false	false	1.307745982	1.304823995	0.002921986919	0.01462098435	0.01453486622	8.611812542e-05	0.01908159367
J1 row 1	1	1	1	false	0.5552748191	15	outgoing	false	false	1.642083079	1.637796777	0.004286302164	0.00780263815	0.007906207115	-0.0001035689652	0.01039419828
J1 row 1	1	1	1	false	0.5552748191	17	internal	false	true	2.070376407	3.559504094	-1.489127687	0.09355436363	0.01730482492	0.0762495387	2.725567202
J1 row 1	1	1	1	false	0.5552748191	21	internal	false	false	1.220621584	1.217633086	0.00298849871	0.01577777346	0.01565903924	0.0001187342298	0.01230994331
J1 row 1	1	1	1	false	0.5552748191	24	internal	false	false	1.188725865	1.184608622	0.004117242624	0.01569990493	0.01564183812	5.806680727e-05	0.02581213749
J1 row 2	1	2	2	true	0.4566148836	2	incoming	true	false	1.746413128	1.745402406	0.001010721862	0.003066917112	0.004004161425	-0.0009372443127	0.02238648466
J1 row 2	1	2	2	true	0.4566148836	4	outgoing	false	true	1.104954401	1.114436691	-0.009482289536	0.004001227309	0.009909862637	-0.005908635329	0.1555553819
J1 row 2	1	2	2	true	0.4566148836	7	outgoing	false	false	1.38924159	1.38882842	0.0004131695994	0.007265733469	0.007287946333	-2.221286439e-05	0.005250106741
J1 row 2	1	2	2	true	0.4566148836	9	incoming	false	false	1.432782793	1.431121717	0.001661076333	0.007858884076	0.007703939449	0.0001549446272	0.01653290026
J1 row 2	1	2	2	true	0.4566148836	14	incoming	false	false	1.307745982	1.30557656	0.002169422125	0.01462098435	0.01457188342	4.91009292e-05	0.01268156719
J1 row 2	1	2	2	true	0.4566148836	15	outgoing	false	false	1.642083079	1.641031851	0.001051228747	0.00780263815	0.007866965579	-6.432742877e-05	0.005398170291
J1 row 2	1	2	2	true	0.4566148836	17	internal	false	true	2.070376407	2.179819327	-0.10944292	0.09355436363	0.07645830463	0.017096059	0.5792767041
J1 row 2	1	2	2	true	0.4566148836	21	internal	false	false	1.220621584	1.218712826	0.00190875874	0.01577777346	0.01568562487	9.214859919e-05	0.008187860936
J1 row 2	1	2	2	true	0.4566148836	24	internal	false	false	1.188725865	1.185784558	0.002941306967	0.01569990493	0.01565095651	4.894841975e-05	0.0163388472
J1 row 3	1	3	18	false	0.1866046451	2	incoming	false	false	1.746413128	1.759030427	-0.01261729893	0.003066917112	0.01387965246	-0.01081273535	0.1470124205
J1 row 3	1	3	18	false	0.1866046451	4	outgoing	false	true	1.104954401	1.140967352	-0.03601295058	0.004001227309	0.01843938214	-0.01443815484	0.281086365
J1 row 3	1	3	18	false	0.1866046451	7	outgoing	false	false	1.38924159	1.389476561	-0.0002349716587	0.007265733469	0.007262338687	3.394781548e-06	0.003208166369
J1 row 3	1	3	18	false	0.1866046451	9	incoming	false	false	1.432782793	1.433817147	-0.001034353783	0.007858884076	0.007957716565	-9.883248924e-05	0.01008642916
J1 row 3	1	3	18	false	0.1866046451	14	incoming	false	false	1.307745982	1.309174074	-0.001428091793	0.01462098435	0.01465510026	-3.411590536e-05	0.008207751092
J1 row 3	1	3	18	false	0.1866046451	15	outgoing	false	false	1.642083079	1.64250353	-0.0004204507799	0.00780263815	0.007766978895	3.565925505e-05	0.003389352642
J1 row 3	1	3	18	false	0.1866046451	17	internal	false	true	2.070376407	2.102981737	-0.03260532998	0.09355436363	0.1080761656	-0.01452180193	0.4784820709
J1 row 3	1	3	18	false	0.1866046451	21	internal	false	false	1.220621584	1.221781096	-0.001159512066	0.01577777346	0.01583547345	-5.769998455e-05	0.005310359157
J1 row 3	1	3	18	false	0.1866046451	24	internal	false	false	1.188725865	1.190802301	-0.002076436717	0.01569990493	0.01574118467	-4.127973919e-05	0.01064004751
J1 row 4	1	4	20	false	0.4677491586	2	incoming	false	false	1.746413128	1.742985406	0.003427722057	0.003066917112	0.008849885973	-0.00578296886	0.154600711
J1 row 4	1	4	20	false	0.4677491586	4	outgoing	false	true	1.104954401	1.234813835	-0.1298594335	0.004001227309	0.0296974312	-0.02569620389	0.5270936066
J1 row 4	1	4	20	false	0.4677491586	7	outgoing	false	false	1.38924159	1.38864881	0.0005927798629	0.007265733469	0.007292680056	-2.694658729e-05	0.006402147094
