regime_label	scenario_count	horizon_factor	observation_count	observation_multiplier	method	budget_label	requested_budget	solve_seconds	iterations	turning_rmse	predictive_rmse	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved
5min_reconstruction	1	2	720	2.5	map_lbfgs	lbfgs_300s	300	106.046	277	0.1441470357	0.01105855005	0.0310735902	0.02317694208	0.03492592306
5min_reconstruction	1	2	720	2.5	esmda	esmda_6_iters	6	27.2897957	6	0.1413963752	0.0235704846	0.04425477752	0.04000558382	0.0465937741
