sample	weight	entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	sample_turning_fraction
1	0.0078125	1	1	J686	junction	54	1	139	168	1	1	0.09361418821	0.4738590536
1	0.0078125	2	1	J686	junction	54	1	139	171	2	2	0.8485888076	0.1487735692
1	0.0078125	3	1	J686	junction	54	1	139	173	3	3	0.0577970042	0.3773673772
1	0.0078125	4	2	J686	junction	54	2	163	168	1	1	0.4909049022	0.6297761622
1	0.0078125	5	2	J686	junction	54	2	163	171	2	2	0.2553048155	0.1258032821
1	0.0078125	6	2	J686	junction	54	2	163	173	3	3	0.2537902823	0.2444205557
1	0.0078125	7	3	J686	junction	54	3	180	168	1	1	0.5068835416	0.2087965403
1	0.0078125	8	3	J686	junction	54	3	180	171	2	2	0.2399326074	0.4918608586
1	0.0078125	9	3	J686	junction	54	3	180	173	3	3	0.2531838511	0.2993426011
1	0.0078125	10	4	J168	junction	196	1	939	969	1	1	0.5007600539	0.0354466291
1	0.0078125	11	4	J168	junction	196	1	939	971	2	2	0.2183178039	0.8223895313
1	0.0078125	12	4	J168	junction	196	1	939	972	3	3	0.2809221422	0.1421638396
1	0.0078125	13	5	J168	junction	196	2	957	969	1	1	0.120008088	0.09957460651
1	0.0078125	14	5	J168	junction	196	2	957	971	2	2	0.7942807287	0.6554386063
1	0.0078125	15	5	J168	junction	196	2	957	972	3	3	0.08571118326	0.2449867872
1	0.0078125	16	6	J168	junction	196	3	986	969	1	1	0.4189197906	0.02949728726
1	0.0078125	17	6	J168	junction	196	3	986	971	2	2	0.171321574	0.7771303458
1	0.0078125	18	6	J168	junction	196	3	986	972	3	3	0.4097586354	0.1933723669
1	0.0078125	19	7	J245	junction	219	1	801	800	1	1	0.3612270427	0.6573413891
1	0.0078125	20	7	J245	junction	219	1	801	806	2	2	0.1525558405	0.06152750296
1	0.0078125	21	7	J245	junction	219	1	801	809	3	3	0.4862171168	0.281131108
1	0.0078125	22	8	J245	junction	219	2	807	800	1	1	0.1002509384	0.1926124835
1	0.0078125	23	8	J245	junction	219	2	807	806	2	2	0.7256465793	0.2259835838
1	0.0078125	24	8	J245	junction	219	2	807	809	3	3	0.1741024823	0.5814039327
1	0.0078125	25	9	J245	junction	219	3	808	800	1	1	0.2870969281	0.1957011511
1	0.0078125	26	9	J245	junction	219	3	808	806	2	2	0.1421794519	0.2769642207
1	0.0078125	27	9	J245	junction	219	3	808	809	3	3	0.57072362	0.5273346282
1	0.0078125	28	10	J411	junction	258	1	565	570	1	1	0.3260774451	0.1533078738
1	0.0078125	29	10	J411	junction	258	1	565	574	2	2	0.3542853025	0.4893331037
1	0.0078125	30	10	J411	junction	258	1	565	575	3	3	0.3196372524	0.3573590225
1	0.0078125	31	11	J411	junction	258	2	566	570	1	1	0.3326651788	0.7072595432
1	0.0078125	32	11	J411	junction	258	2	566	574	2	2	0.3894213042	0.1408050721
1	0.0078125	33	11	J411	junction	258	2	566	575	3	3	0.277913517	0.1519353847
1	0.0078125	34	12	J411	junction	258	3	576	570	1	1	0.08057718231	0.1456692207
