entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction
105	34	RB23	roundabout	490	2	553	551	1	1	0.3021528261
106	34	RB23	roundabout	490	2	553	552	2	2	0.2590793295
107	34	RB23	roundabout	490	2	553	557	3	3	0.4387678443
108	35	RB24	roundabout	491	1	562	561	1	1	0.354151074
109	35	RB24	roundabout	491	1	562	564	2	2	0.645848926
110	36	RB24	roundabout	491	2	567	561	1	1	0.3321790666
111	36	RB24	roundabout	491	2	567	564	2	2	0.6678209334
112	37	RB28	roundabout	495	1	108	115	1	1	0.0597532262
113	37	RB28	roundabout	495	1	108	116	2	2	0.06637418218
114	37	RB28	roundabout	495	1	108	123	3	4	0.07712541654
115	37	RB28	roundabout	495	1	108	130	4	5	0.7967471751
116	38	RB28	roundabout	495	2	122	115	1	1	0.0684116138
117	38	RB28	roundabout	495	2	122	116	2	2	0.0812487774
118	38	RB28	roundabout	495	2	122	117	3	3	0.09876736801
119	38	RB28	roundabout	495	2	122	130	4	5	0.7515722408
120	39	RB28	roundabout	495	3	125	115	1	1	0.1618176795
121	39	RB28	roundabout	495	3	125	116	2	2	0.09897722401
122	39	RB28	roundabout	495	3	125	117	3	3	0.1206537795
123	39	RB28	roundabout	495	3	125	123	4	4	0.1441552394
124	39	RB28	roundabout	495	3	125	130	5	5	0.4743960777
125	40	RB28	roundabout	495	4	151	115	1	1	0.1047798359
126	40	RB28	roundabout	495	4	151	116	2	2	0.1263820033
127	40	RB28	roundabout	495	4	151	117	3	3	0.1479954726
128	40	RB28	roundabout	495	4	151	130	4	5	0.6208426882
129	41	RB29	roundabout	496	1	130	151	1	1	0.4035299007
130	41	RB29	roundabout	496	1	130	154	2	2	0.5964700993
131	42	RB29	roundabout	496	2	149	151	1	1	0.8167737525
132	42	RB29	roundabout	496	2	149	154	2	2	0.1832262475
133	43	RB29	roundabout	496	3	155	151	1	1	0.8242018087
134	43	RB29	roundabout	496	3	155	154	2	2	0.1757981913
135	44	RB30	roundabout	497	1	93	101	1	1	0.3153225725
136	44	RB30	roundabout	497	1	93	102	2	2	0.2770249858
137	44	RB30	roundabout	497	1	93	106	3	3	0.2340617563
138	44	RB30	roundabout	497	1	93	108	4	4	0.1735906854
139	45	RB30	roundabout	497	2	117	101	1	1	0.3122290488
140	45	RB30	roundabout	497	2	117	102	2	2	0.2592788299
141	45	RB30	roundabout	497	2	117	106	3	3	0.2120829778
142	45	RB30	roundabout	497	2	117	108	4	4	0.2164091434
