entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
1	1	J686	junction	54	1	139	168	1	1	0.09361418821	0.2871382855	0.2185136011	0.03251773902	0.1220729904	0.4264767777	0.6794800585	0.1935240973	0.6469623195	true
2	1	J686	junction	54	1	139	171	2	2	0.8485888076	0.3326866002	0.3079492784	0.03784918001	0.1487735692	0.4562218741	0.7736207753	0.5159022074	0.7357715953	false
3	1	J686	junction	54	1	139	173	3	3	0.0577970042	0.3801751142	0.3727180512	0.09820917016	0.229688803	0.5277483	0.7003655232	0.32237811	0.6021563531	false
4	2	J686	junction	54	2	163	168	1	1	0.4909049022	0.3320572569	0.3049655922	0.03482183303	0.1502970321	0.4749833324	0.7613050836	0.1588476453	0.7264832505	true
5	2	J686	junction	54	2	163	171	2	2	0.2553048155	0.3339420162	0.2839473961	0.04052757445	0.1266726181	0.4987262069	0.7953585697	0.07863720073	0.7548309952	true
6	2	J686	junction	54	2	163	173	3	3	0.2537902823	0.3340007269	0.328531783	0.06599530661	0.1882391909	0.4403165363	0.6604280247	0.08021044454	0.5944327181	true
7	3	J686	junction	54	3	180	168	1	1	0.5068835416	0.3649842311	0.3357612614	0.0379089966	0.163951678	0.5498383875	0.8017979245	0.1418993105	0.7638889279	true
8	3	J686	junction	54	3	180	171	2	2	0.2399326074	0.3580476895	0.318145136	0.04697215459	0.1424815289	0.5375955471	0.8038536635	0.1181150822	0.7568815089	true
9	3	J686	junction	54	3	180	173	3	3	0.2531838511	0.2769680794	0.241232917	0.05423770096	0.148429618	0.3655852712	0.6552284585	0.02378422833	0.6009907575	true
10	4	J168	junction	196	1	939	969	1	1	0.5007600539	0.3507078232	0.2623093886	0.04581287624	0.1472243424	0.5163375225	0.8177730023	0.1500522307	0.771960126	true
11	4	J168	junction	196	1	939	971	2	2	0.2183178039	0.3399870309	0.3005997753	0.04887335284	0.1438065372	0.5290085139	0.7195900993	0.121669227	0.6707167465	true
12	4	J168	junction	196	1	939	972	3	3	0.2809221422	0.3093051459	0.2766405121	0.08592121044	0.1633427117	0.4203119327	0.6335742453	0.02838300369	0.5476530349	true
13	5	J168	junction	196	2	957	969	1	1	0.120008088	0.4003099346	0.3687781348	0.07858479589	0.2054685124	0.5899713403	0.796665173	0.2803018465	0.7180803771	true
14	5	J168	junction	196	2	957	971	2	2	0.7942807287	0.3779356224	0.3611369353	0.05606984208	0.181150412	0.5457077245	0.7854417948	0.4163451063	0.7293719527	false
15	5	J168	junction	196	2	957	972	3	3	0.08571118326	0.221754443	0.2070698593	0.06553251867	0.1383750907	0.289576571	0.38808795	0.1360432597	0.3225554313	true
16	6	J168	junction	196	3	986	969	1	1	0.4189197906	0.3977176217	0.387588957	0.03329861261	0.1935231946	0.5811704722	0.8055664938	0.02120216893	0.7722678812	true
17	6	J168	junction	196	3	986	971	2	2	0.171321574	0.357093011	0.315093569	0.05609920405	0.1457007683	0.5345395465	0.7878508437	0.185771437	0.7317516396	true
18	6	J168	junction	196	3	986	972	3	3	0.4097586354	0.2451893673	0.2085534932	0.07428922253	0.1319217256	0.3383906565	0.527038528	0.1645692681	0.4527493054	true
19	7	J245	junction	219	1	801	800	1	1	0.3612270427	0.37240027	0.374754735	0.07447367517	0.2013176116	0.5077594776	0.7815150224	0.01117322732	0.7070413472	true
20	7	J245	junction	219	1	801	806	2	2	0.1525558405	0.3376904817	0.2869237573	0.05197150293	0.1512418175	0.4488704623	0.7845677352	0.1851346412	0.7325962323	true
21	7	J245	junction	219	1	801	809	3	3	0.4862171168	0.2899092482	0.2703339753	0.05866604681	0.1561027938	0.4033672765	0.5840192295	0.1963078685	0.5253531827	true
22	8	J245	junction	219	2	807	800	1	1	0.1002509384	0.3495686635	0.2795757393	0.02756869896	0.1554603783	0.4980343203	0.8074455406	0.2493177251	0.7798768416	true
23	8	J245	junction	219	2	807	806	2	2	0.7256465793	0.3895582033	0.3681719513	0.03690301221	0.1741722643	0.5701360902	0.9019548551	0.336088376	0.8650518429	true
24	8	J245	junction	219	2	807	809	3	3	0.1741024823	0.2608731332	0.2468064793	0.0487991105	0.1572713887	0.3460903396	0.5177111723	0.08677065089	0.4689120618	true
25	9	J245	junction	219	3	808	800	1	1	0.2870969281	0.4018629921	0.3842082919	0.06394661006	0.1782010006	0.573937971	0.8588115524	0.114766064	0.7948649424	true
26	9	J245	junction	219	3	808	806	2	2	0.1421794519	0.3413540186	0.2769642207	0.04526315226	0.1462328233	0.5119553858	0.7850632575	0.1991745667	0.7398001052	true
27	9	J245	junction	219	3	808	809	3	3	0.57072362	0.2567829893	0.224973715	0.06301938808	0.117332787	0.3300536093	0.5633115582	0.3139406307	0.5002921701	false
