loss_kind	restarts	turning_rmse_mean	turning_rmse_median	turning_rmse_min	turning_rmse_max	final_state_rmse_all_mean	final_state_rmse_all_median	final_state_rmse_all_min	final_state_rmse_all_max	predictive_rmse_mean	predictive_rmse_median	predictive_rmse_min	predictive_rmse_max	fit_rmse_mean	fit_rmse_median	fit_rmse_min	fit_rmse_max	map_loss_at_solution_mean	map_loss_at_solution_median	mse_loss_at_solution_mean	mse_loss_at_solution_median	solve_seconds_mean	solve_seconds_max	iterations_mean	iterations_max	converged_count
map	5	0.1555976706	0.1563725015	0.1527857558	0.1568414023	0.04141883367	0.0405433783	0.03941585271	0.04538952762	0.01738371445	0.01742325865	0.01708735825	0.01753152706	0.06655292216	0.06655711673	0.06651371034	0.06657518439	206.5323767	206.3510043	0.6378180304	0.6378983694	28.89360008	40.26999998	171.8	259	3
mse	5	0.2716966813	0.2551847743	0.1639475195	0.4122415811	0.04883844408	0.04544476002	0.04286654393	0.06046390362	0.01650377486	0.01653997356	0.01634674073	0.016707668	0.06626600626	0.06625646814	0.06619166066	0.06633544492	4169.911173	241.2033102	0.6323309001	0.6321484181	37.97800002	69.60899997	134.6	431	4
