entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
32	11	J411	junction	258	2	566	574	2	2	0.3894213042	0.4086255725	0.4222730667	0.06963064459	0.1925374022	0.5721737734	0.7434476459	0.01920426836	0.6738170013	true
33	11	J411	junction	258	2	566	575	3	3	0.277913517	0.3023039708	0.2751327343	0.08847672764	0.1853360783	0.3835328987	0.5955665695	0.02439045376	0.5070898418	true
34	12	J411	junction	258	3	576	570	1	1	0.08057718231	0.2538850916	0.1670646291	0.02663901052	0.1066281067	0.3889768551	0.6396507264	0.1733079093	0.6130117158	true
35	12	J411	junction	258	3	576	574	2	2	0.09821284373	0.4391448367	0.3698635598	0.08469809308	0.2203828383	0.6686424199	0.8416818822	0.340931993	0.7569837891	true
36	12	J411	junction	258	3	576	575	3	3	0.821209974	0.3069700717	0.2699603221	0.09302036521	0.1631004759	0.4558402177	0.565688165	0.5142399023	0.4726677998	false
37	13	J416	junction	261	1	507	520	1	1	0.08585171273	0.3649745958	0.2966636423	0.05590550849	0.1885329451	0.5172534018	0.8085598845	0.2791228831	0.752654376	true
38	13	J416	junction	261	1	507	533	2	2	0.8350226374	0.2877483422	0.2372095841	0.02553467777	0.09311797484	0.4230555604	0.7433259265	0.5472742952	0.7177912487	false
39	13	J416	junction	261	1	507	535	3	3	0.0791256499	0.347277062	0.3110584992	0.0908052861	0.2142951066	0.4495057289	0.6617870025	0.2681514121	0.5709817164	false
40	14	J416	junction	261	2	519	520	1	1	0.4424993428	0.3315504826	0.2629674352	0.05855480883	0.1230355143	0.5014757189	0.7515893663	0.1109488602	0.6930345574	true
41	14	J416	junction	261	2	519	533	2	2	0.2571829325	0.3486532214	0.3196465405	0.07407741864	0.1663790165	0.5160359762	0.7596561143	0.09147028891	0.6855786957	true
42	14	J416	junction	261	2	519	535	3	3	0.3003177247	0.319796296	0.3127627704	0.08235924887	0.1810702723	0.4132853651	0.5706535484	0.01947857125	0.4882942995	true
43	15	J416	junction	261	3	543	520	1	1	0.4804376639	0.345369956	0.3427120419	0.03762862015	0.1724523046	0.4449810716	0.7312315799	0.1350677079	0.6936029598	true
44	15	J416	junction	261	3	543	533	2	2	0.2584001043	0.3248634035	0.3188059528	0.0803772146	0.1783881882	0.4260464253	0.6694605464	0.06646329928	0.5890833318	true
45	15	J416	junction	261	3	543	535	3	3	0.2611622318	0.3297666405	0.324231747	0.1043823884	0.2005872688	0.4315805819	0.5924289974	0.06860440863	0.488046609	true
46	16	J635	junction	308	1	54	103	1	1	0.5033156413	0.4345505699	0.3787933795	0.04112658334	0.2135854824	0.6867921601	0.872944739	0.06876507137	0.8318181557	true
47	16	J635	junction	308	1	54	104	2	2	0.2465759607	0.3228354299	0.3079643566	0.04981224033	0.1293791414	0.4424012341	0.7731389245	0.07625946918	0.7233266842	true
48	16	J635	junction	308	1	54	105	3	3	0.250108398	0.2426140002	0.1856077266	0.04940232566	0.1218265385	0.332320215	0.5526246081	0.007494397812	0.5032222824	true
