sample	weight	entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	sample_turning_fraction
1	0.015625	73	24	RB08	roundabout	475	1	1063	1052	3	3	0.2559292859	0.04654879777
1	0.015625	74	24	RB08	roundabout	475	1	1063	1056	4	4	0.339682669	0.1136967513
1	0.015625	75	25	RB10	roundabout	477	1	1012	1006	1	1	0.2756346244	0.9327471589
1	0.015625	76	25	RB10	roundabout	477	1	1012	1007	2	2	0.3325639456	0.01258474882
1	0.015625	77	25	RB10	roundabout	477	1	1012	1016	3	3	0.39180143	0.05466809225
1	0.015625	78	26	RB10	roundabout	477	2	1047	1006	1	1	0.3064235083	0.2039348539
1	0.015625	79	26	RB10	roundabout	477	2	1047	1007	2	2	0.3748266199	0.1599700707
1	0.015625	80	26	RB10	roundabout	477	2	1047	1016	3	3	0.3187498719	0.6360950754
1	0.015625	81	27	RB14	roundabout	481	1	1052	993	1	1	0.1370668986	0.05381023345
1	0.015625	82	27	RB14	roundabout	481	1	1052	994	2	2	0.1627160998	0.008998668686
1	0.015625	83	27	RB14	roundabout	481	1	1052	995	3	3	0.1859955473	0.06013428307
1	0.015625	84	27	RB14	roundabout	481	1	1052	996	4	4	0.2024412104	0.2304108585
1	0.015625	85	27	RB14	roundabout	481	1	1052	998	5	5	0.2083275524	0.597629659
1	0.015625	86	27	RB14	roundabout	481	1	1052	1000	6	6	0.1034526915	0.04901629726
1	0.015625	87	28	RB18	roundabout	485	1	783	781	1	1	0.3714557218	0.1452284764
1	0.015625	88	28	RB18	roundabout	485	1	783	784	2	2	0.4123240887	0.3002468527
1	0.015625	89	28	RB18	roundabout	485	1	783	794	3	3	0.2162201895	0.5545246709
1	0.015625	90	29	RB18	roundabout	485	2	798	781	1	1	0.396902516	0.3541593987
1	0.015625	91	29	RB18	roundabout	485	2	798	784	2	2	0.4027341383	0.3035336807
1	0.015625	92	29	RB18	roundabout	485	2	798	794	3	3	0.2003633456	0.3423069205
1	0.015625	93	30	RB19	roundabout	486	1	777	797	1	1	0.6632352944	0.7159788846
1	0.015625	94	30	RB19	roundabout	486	1	777	798	2	2	0.3367647056	0.2840211154
1	0.015625	95	31	RB19	roundabout	486	2	799	797	1	1	0.6283055034	0.5105854809
1	0.015625	96	31	RB19	roundabout	486	2	799	798	2	2	0.3716944966	0.4894145191
1	0.015625	97	32	RB20	roundabout	487	1	768	771	1	1	0.2618012881	0.009872636568
1	0.015625	98	32	RB20	roundabout	487	1	768	772	2	2	0.21502642	0.1422810831
1	0.015625	99	32	RB20	roundabout	487	1	768	775	3	3	0.1757039465	0.8218966213
1	0.015625	100	32	RB20	roundabout	487	1	768	776	4	4	0.1452665893	0.005835745825
1	0.015625	101	32	RB20	roundabout	487	1	768	777	5	5	0.2022017561	0.0201139132
1	0.015625	102	33	RB23	roundabout	490	1	548	551	1	1	0.3462674085	0.4780590137
1	0.015625	103	33	RB23	roundabout	490	1	548	552	2	2	0.2844559279	0.2455108674
