method	runtime_seconds	turning_rmse	predictive_rmse	final_state_rmse	mean_90_interval_width	coverage_count	coverage_total
ESMDA	112.5	0.0622	0.0068	0.0043	0.1584	11	16
ADAM	98.7	0.0494	0.0051	0.0026			
